account_id,account_name,tenant_id,health_score,health_segment,revenue,neediness_score,segment,account_level,industry,tad_score,tech_count,neediness_category
001Pg00000OWx7VIAT,ms_cellis,4083617851,85,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
0011P00001CLF8KQAX,theplumbingsource,1770879765,99,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
0011P00001JIYScQAP,acehandyman_tricountynova,2960779603,84,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
001Pg000009Hr17IAC,,,61,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
001Pg00000baxZbIAI,agdtallahassee05,4080356907,83,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
0011a00000VUjxhAAD,wfhannandsons,3817860117,95,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
0011P00001IGOiwQAH,jnmhomeservicellcdbadrymedic,2058367639,90,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
0011a00000W9GOXAA3,leprevostplumbingandheatinginc,881541562,92,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
0011P00001JIYS9QAP,acehandyman_grandrapidscentral,2578827797,86,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
0011P00001JIYRtQAP,acehandyman_buffalo_southtowns,2365877243,79,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
0011P00001JIYRCQA5,acehandyman_florence,2312149996,84,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
0011P00001JIYSVQA5,acehandyman_greatertriangle,2089004777,93,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
0011P00001JIYRgQAP,acehandyman_tyler,2611403061,81,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
0011a00000WVy1rAAD,justfixit,481740703,93,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
001Pg00000bbeuTIAQ,agdnorthwesthouston25,4080356896,75,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
0011a00000nhrlAAAQ,bandlott,4140029077,96,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
0011P00001JIYQiQAP,acehandyman_amarillo,2312776575,44,Red,100000,8,Residential,Corporate,Roofing,0,5,High
001Pg000015F9hFIAS,,,96,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
0011P00001JIYRwQAP,acehandyman_cashiers,2751338327,84,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
0011P00001JIYRPQA5,acehandyman_nindianapolis,3412112893,73,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
0011P00001JIYRXQA5,acehandyman_eastgwinnett,2365877209,82,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
0011P00001JIYQSQA5,acehandyman_casper,2484204412,78,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
0011P00001JIYSXQA5,acehandyman_fortcollins,2365992767,84,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
0011a00000e4AvwAAE,troneappliancecenterltd,1541910954,18,Red,100000,8,Residential,Corporate,Roofing,0,5,High
0011P000019fUCDQA2,icecooling,3040655915,86,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
